1,14,1,1,1,107,2024-12-15,71,181,1,1,2
2,14,1,2,2,107,2024-12-15,71,156,1,1,1
3,14,1,3,3,107,2024-12-15,71,176,1,2,2
4,14,1,4,4,107,2024-12-15,71,167,1,3,5
5,21,1,1,1,107,2024-12-15,71,210,1,1,3
6,21,1,2,2,107,2024-12-15,71,207,1,4,9
7,21,1,3,3,107,2024-12-15,71,170,1,1,7
8,21,1,4,4,107,2024-12-15,71,227,1,2,5
9,14,2,5,1,107,2024-12-15,71,206,1,6,10
10,14,2,6,2,107,2024-12-15,71,215,1,2,5
11,14,2,7,3,107,2024-12-15,71,169,1,5,8
12,14,2,8,4,107,2024-12-15,71,179,1,2,6
13,21,2,5,1,107,2024-12-15,71,193,1,2,6
14,21,2,6,2,107,2024-12-15,71,199,1,1,5
15,21,2,7,3,107,2024-12-15,71,197,1,4,8
16,21,2,8,4,107,2024-12-15,71,155,1,3,9
17,19,3,9,1,108,2025-03-17,51,176,1,4,4
18,19,3,10,2,108,2025-03-17,51,193,1,3,7
19,19,3,11,3,108,2025-03-17,51,188,1,3,3
20,19,3,12,4,108,2025-03-17,51,157,1,3,4
21,21,3,9,1,108,2025-03-17,51,155,1,1,4
22,21,3,10,2,108,2025-03-17,51,203,1,2,4
23,21,3,11,3,108,2025-03-17,51,162,1,4,4
24,21,3,12,4,108,2025-03-17,51,174,1,4,7
25,19,4,13,1,108,2025-03-17,51,166,1,2,5
26,19,4,14,2,108,2025-03-17,51,157,1,3,6
27,19,4,15,3,108,2025-03-17,51,146,1,4,6
28,19,4,16,4,108,2025-03-17,51,145,1,0,5
29,21,4,13,1,108,2025-03-17,51,189,1,5,6
30,21,4,14,2,108,2025-03-17,51,167,1,4,6
31,21,4,15,3,108,2025-03-17,51,162,1,2,4
32,21,4,16,4,108,2025-03-17,51,153,1,0,4
33,515,5,17,1,109,2025-04-12,80,192,1,2,4
34,515,5,18,2,109,2025-04-12,80,136,1,3,8
35,515,5,19,3,109,2025-04-12,80,173,1,3,5
36,515,5,20,4,109,2025-04-12,80,171,1,2,6
37,46,5,17,1,109,2025-04-12,80,151,1,1,2
38,46,5,18,2,109,2025-04-12,80,190,1,2,7
39,46,5,19,3,109,2025-04-12,80,153,1,4,8
40,46,5,20,4,109,2025-04-12,80,149,1,3,3
41,515,6,17,1,109,2025-04-12,80,170,1,2,3
42,515,6,18,2,109,2025-04-12,80,146,1,2,7
43,515,6,19,3,109,2025-04-12,80,165,1,1,2
44,515,6,20,4,109,2025-04-12,80,128,1,2,5
45,46,6,21,1,109,2025-04-12,80,148,1,1,3
46,46,6,22,2,109,2025-04-12,80,158,1,3,6
47,46,6,23,3,109,2025-04-12,80,161,1,2,5
48,46,6,24,4,109,2025-04-12,80,182,1,3,6
49,519,7,21,1,110,2025-04-17,48,164,1,2,4
50,519,7,22,2,110,2025-04-17,48,171,1,4,6
51,519,7,23,3,110,2025-04-17,48,140,1,3,5
52,519,7,24,4,110,2025-04-17,48,145,1,2,3
53,57,7,25,1,110,2025-04-17,48,166,1,3,5
54,57,7,26,2,110,2025-04-17,48,162,1,3,6
55,57,7,27,3,110,2025-04-17,48,183,1,4,7
56,57,7,28,4,110,2025-04-17,48,193,1,5,6
57,519,8,25,1,110,2025-04-17,48,181,1,1,6
58,519,8,26,2,110,2025-04-17,48,166,1,3,6
59,519,8,27,3,110,2025-04-17,48,127,1,2,4
60,519,8,28,4,110,2025-04-17,49,130,1,3,4
61,57,8,29,1,110,2025-04-17,49,201,1,2,3
62,57,8,30,2,110,2025-04-17,49,179,1,4,6
63,57,8,31,3,110,2025-04-17,49,154,1,1,2
64,57,8,32,4,110,2025-04-17,49,166,1,2,5
65,541,9,29,1,111,2025-04-29,59,167,1,4,6
66,541,9,30,2,111,2025-04-29,59,151,1,0,4
67,541,9,31,3,111,2025-04-29,59,186,1,2,4
68,541,9,32,4,111,2025-04-29,59,143,1,7,8
69,18,9,33,1,111,2025-04-29,59,139,1,2,4
70,18,9,34,2,111,2025-04-29,59,169,1,3,4
71,18,9,35,3,111,2025-04-29,59,171,1,3,6
72,18,9,36,4,111,2025-04-29,59,165,1,3,4
73,541,10,33,1,111,2025-04-29,59,161,1,2,3
74,541,10,34,2,111,2025-04-29,59,169,1,3,6
75,541,10,35,3,111,2025-04-29,59,194,1,4,6
76,541,10,36,4,111,2025-04-29,59,197,1,5,9
77,18,10,37,1,111,2025-04-29,59,203,1,5,8
78,18,10,38,2,111,2025-04-29,59,145,1,0,3
79,18,10,39,3,111,2025-04-29,59,168,1,2,4
80,18,10,40,4,111,2025-04-29,59,160,1,1,6
81,486,11,37,1,112,2025-07-21,79,164,1,3,6
82,486,11,38,2,112,2025-07-21,79,170,1,1,4
83,486,11,39,3,112,2025-07-21,79,150,1,6,7
